Date      ,Symbol,ListingMarket,OpeningCross,ClosingCross,IntradayCross,
01/02/2015,ALIM  ,             ,        2580,       20368,            0,
01/02/2015,ALJ   ,             ,         100,           0,            0,
01/02/2015,ALKS  ,             ,        8639,       65785,            0,
01/02/2015,ALL   ,             ,           5,           0,            0,
01/02/2015,ALLT  ,             ,        1485,       14133,            0,
01/02/2015,ALNY  ,             ,        2869,       37662,            0,
01/02/2015,ALOG  ,             ,         323,        4249,            0,
01/02/2015,ALOT  ,             ,         151,           0,            0,
01/02/2015,ALQA  ,             ,        4859,        4999,            0,
01/02/2015,ALSK  ,             ,        1500,        1000,            0,
01/02/2015,ALTR  ,             ,       21897,      130392,            0,
01/02/2015,ALV   ,             ,           2,           0,            0,
01/02/2015,ALXA  ,             ,           0,         400,            0,
01/02/2015,ALXN  ,             ,       37596,       81302,            0,
01/02/2015,AM    ,             ,         300,           0,            0,
01/02/2015,AMAG  ,             ,         863,        7412,            0,
01/02/2015,AMAT  ,             ,       75137,      429486,            0,
01/02/2015,AMBA  ,             ,       14977,       20700,            0,
01/02/2015,AMBC  ,             ,         933,        8139,            0,
01/02/2015,AMCC  ,             ,        1717,      117147,            0,
01/02/2015,AMCF  ,             ,         150,           0,            0,
01/02/2015,AMCN  ,             ,         500,          74,            0,
01/02/2015,AMCX  ,             ,        1336,       13659,            0,
01/02/2015,AMD   ,             ,       31376,      391750,            0,
01/02/2015,AMDA  ,             ,        1200,       10600,            0,
01/02/2015,AMED  ,             ,        2997,        7469,            0,
01/02/2015,AMGN  ,             ,       38047,      458580,            0,
01/02/2015,AMIC  ,             ,           5,           0,            0,
01/02/2015,AMKR  ,             ,        4530,       51238,            0,
01/02/2015,AMNB  ,             ,         368,         987,            0,
01/02/2015,AMOT  ,             ,         159,        1187,            0,
01/02/2015,AMOV  ,             ,         118,           0,            0,
01/02/2015,AMPH  ,             ,       11999,       12142,            0,
01/02/2015,AMRI  ,             ,        4516,       19005,            0,
01/02/2015,AMRK  ,             ,           3,           0,            0,
01/02/2015,AMRN  ,             ,       19809,        3700,            0,
01/02/2015,AMRS  ,             ,        8736,       10741,            0,
01/02/2015,AMSC  ,             ,        5278,       46468,            0,
01/02/2015,AMSF  ,             ,         509,        1602,            0,
01/02/2015,AMSG  ,             ,        1377,       23767,            0,
01/02/2015,AMSWA ,             ,         640,        3702,            0,
01/02/2015,AMTX  ,             ,         547,        1700,            0,
01/02/2015,AMWD  ,             ,         357,        4014,            0,
01/02/2015,AMZN  ,             ,       24715,      121142,            0,
01/02/2015,ANAC  ,             ,       29361,       16353,            0,
01/02/2015,ANAD  ,             ,         100,        2100,            0,
01/02/2015,ANAT  ,             ,         176,        2309,            0,
01/02/2015,ANCI  ,             ,         592,           0,            0,
01/02/2015,ANCX  ,             ,         300,         144,            0,
01/02/2015,ANDE  ,             ,        2271,        7500,            0,
01/02/2015,ANGI  ,             ,        3671,       26716,            0,
01/02/2015,ANGO  ,             ,        1086,        8520,            0,
01/02/2015,ANIK  ,             ,        2810,        8342,            0,
01/02/2015,ANIP  ,             ,        2295,        7089,            0,
01/02/2015,ANSS  ,             ,        4831,       16434,            0,
01/02/2015,ANTH  ,             ,        2031,        6000,            0,
01/02/2015,ANY   ,             ,        1920,           0,            0,
01/02/2015,AOSL  ,             ,         728,        2111,            0,
01/02/2015,APA   ,             ,         200,           0,            0,
01/02/2015,APAGF ,             ,         217,        2987,            0,
01/02/2015,APD   ,             ,         100,           0,            0,
01/02/2015,APDN  ,             ,        4586,        3934,            0,
01/02/2015,APEI  ,             ,         923,        5586,            0,
01/02/2015,APOG  ,             ,         981,       13302,            0,
01/02/2015,APOL  ,             ,       10647,       56815,            0,
01/02/2015,APP   ,             ,        1500,           0,            0,
01/02/2015,APPY  ,             ,          27,        7100,            0,
01/02/2015,APRI  ,             ,        2700,        7300,            0,
01/02/2015,APSA  ,             ,         700,           0,            0,
01/02/2015,APTO  ,             ,         255,           0,            0,
01/02/2015,AQXP  ,             ,          50,           0,            0,
01/02/2015,ARAY  ,             ,        3679,       47082,            0,
01/02/2015,ARCB  ,             ,        2779,       10343,            0,
01/02/2015,ARCC  ,             ,       25451,       72811,            0,
01/02/2015,ARCI  ,             ,         100,         100,            0,
01/02/2015,ARCP  ,             ,       46018,      162673,            0,
01/02/2015,ARCPP ,             ,         500,         247,            0,
01/02/2015,ARCW  ,             ,         438,         300,            0,
01/02/2015,ARDM  ,             ,           6,           0,            0,
01/02/2015,ARDX  ,             ,          62,        2950,            0,
01/02/2015,AREX  ,             ,        8649,       29502,            0,
01/02/2015,ARGS  ,             ,         500,        2874,            0,
01/02/2015,ARIA  ,             ,       36305,       80467,            0,
01/02/2015,ARII  ,             ,        1922,        5161,            0,
01/02/2015,ARIS  ,             ,         100,           0,            0,
01/02/2015,ARKR  ,             ,         320,           0,            0,
01/02/2015,ARLP  ,             ,        1682,       12358,            0,
01/02/2015,ARMH  ,             ,        7729,        7900,            0,
01/02/2015,ARNA  ,             ,       13408,      136284,            0,
01/02/2015,AROW  ,             ,         393,        2241,            0,
01/02/2015,ARQL  ,             ,       13460,        2050,            0,
01/02/2015,ARRS  ,             ,       13501,       25925,            0,
01/02/2015,ARRY  ,             ,        6165,       44957,            0,
01/02/2015,ARTNA ,             ,         195,        1254,            0,
01/02/2015,ARTX  ,             ,        4063,         711,            0,
01/02/2015,ARUN  ,             ,       20625,       38675,            0,
01/02/2015,ARWR  ,             ,       33725,      147741,            0,
01/02/2015,ASCMA ,             ,         528,        3457,            0,
01/02/2015,ASEI  ,             ,         153,        2722,            0,
01/02/2015,ASMI  ,             ,         200,           0,            0,
01/02/2015,ASML  ,             ,        2406,        3780,            0,
01/02/2015,ASNA  ,             ,        4603,       39779,            0,
01/02/2015,ASPS  ,             ,        1709,        5364,            0,
01/02/2015,ASPX  ,             ,       10707,       16158,            0,
01/02/2015,ASRV  ,             ,          25,           0,            0,
01/02/2015,ASRVP ,             ,          26,           0,            0,
01/02/2015,ASTC  ,             ,         100,           0,            0,
01/02/2015,ASTE  ,             ,         496,        3523,            0,
01/02/2015,ASTI  ,             ,        1148,        8100,            0,
01/02/2015,ASYS  ,             ,         880,         201,            0,
01/02/2015,ATAX  ,             ,        4000,         245,            0,
01/02/2015,ATEA  ,             ,         100,           0,            0,
